"Colony","ObsRef","ObsDate","ObsTime","Loser","Winner","Context","NBCall","ObsType","SexWinner","SexLoser","InterractionType"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4M001",1,2,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4F003",1,20,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F003",3,10,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4M001",3,15,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F002",1,4,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4M001",3,4,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4M001",1,25,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4M007",1,5,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4M001",3,2,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4M001",3,15,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",1,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",1,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",3,5,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F003",1,3,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F003",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F003",1,15,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F002",3,30,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",2,15,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F002",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F004",3,6,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",1,25,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F002","G4F003",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",3,15,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F003",3,3,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F002",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F004",2,25,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F004",3,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4M007","G4F003",3,3,"Scan","F","M","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F003",1,10,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M001",3,4,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",3,10,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4M007","G4F003",3,5,"Scan","F","M","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F003",3,10,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",1,6,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",3,10,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F004",1,10,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",3,2,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F003",1,5,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4M007","G4F003",3,3,"Scan","F","M","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F004","G4F003",1,12,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F002",3,2,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4M001",2,4,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F003","G4F002",3,10,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",3,2,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F006",1,15,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F006","G4F004",3,3,"Scan","F","F","Female"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4M007","G4F003",3,5,"Scan","F","M","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4M007",3,2,"Scan","M","F","Mixed"
"Gemsbok 4",5,2014-04-11,"13:49:37","G4F016","G4F002",1,5,"Scan","F","F","Female"
